pitch	atm	height	throt	rot1	rot2	rot3	rot4	volt
0.21	42.63	1.56	2014	2014	2014	2014	2014	10	
0.22	42.55	1.55	2014	2014	2014	2014	2014	10	
0.22	42.46	1.56	2014	2014	2014	2014	2014	10	
0.22	42.63	1.56	2014	2014	2014	2014	2014	10	
0.22	42.71	1.57	2014	2014	2014	2014	2014	10	
0.23	42.96	1.57	2014	2014	2014	2014	2014	10	
0.22	42.80	1.59	2014	2014	2014	2014	2014	10	
0.22	42.63	1.60	2014	2014	2014	2014	2014	10	
0.22	42.80	1.60	2014	2014	2014	2014	2014	10	
0.22	42.63	1.60	2014	2014	2014	2014	2014	10	
0.22	42.96	1.60	2014	2014	2014	2014	2014	10	
0.22	42.88	1.61	2014	2014	2014	2014	2014	10	
0.22	42.96	1.62	2014	2014	2014	2014	2014	10	
0.22	42.71	1.63	2014	2014	2014	2014	2014	10	
0.22	42.80	1.63	2014	2014	2014	2014	2014	10	
0.22	42.80	1.63	2014	2014	2014	2014	2014	10	
0.22	42.71	1.64	2014	2014	2014	2014	2014	10	
0.22	42.80	1.65	2014	2014	2014	2014	2014	10	
0.22	42.88	1.66	2014	2014	2014	2014	2014	10	
0.22	42.80	1.66	2014	2014	2014	2014	2014	10	
0.22	42.80	1.67	2014	2014	2014	2014	2014	10	
0.22	43.22	1.67	2014	2014	2014	2014	2014	10	
0.21	42.71	1.67	2014	2014	2014	2014	2014	10	
0.21	42.88	1.68	2014	2014	2014	2014	2014	10	
0.21	42.38	1.68	2014	2014	2014	2014	2014	10	
0.21	42.46	1.67	2014	2014	2014	2014	2014	10	
0.20	42.71	1.68	2014	2014	2014	2014	2014	10	
0.21	42.88	1.69	2014	2014	2014	2014	2014	10	
0.21	43.05	1.69	2014	2014	2014	2014	2014	10	
0.20	42.71	1.70	2014	2014	2014	2014	2014	10	
0.20	42.88	1.70	2014	2014	2014	2014	2014	10	
0.20	43.13	1.71	2014	2014	2014	2014	2014	10	
0.20	42.63	1.71	2014	2014	2014	2014	2014	10	
